"ChainCode","IataCode","DupeId","Name","HotelId","Latitude","Longitude","CountryCode","Distance","Unit"
"ES","BOS","700066550","EMBASSY STES BOSTON LOGAN ARPT","ESBOS207","42.37048","-71.03187","US","1.29","KM"
"CY","BOS","700008332","COURTYARD LOGAN ARPT MARRIOTT","CYBOSLAC","42.38774","-71.01752","US","2.49","KM"
"XL","BOS","700012479","SEAPORT BOSTON HOTEL SUMMIT","XLBOSSEA","42.35074","-71.04098","US","2.5","KM"
"UZ","BOS","700174780","EXECUSTAY AT PARK LANE","UZBOSPL1","42.34786","-71.03797","US","2.55","KM"
"TO","BOS","700883554","TOWNEPLACE STES ARPT MARRIOTT","TOBOSCLT","42.3879","-71.02363","US","2.56","KM"
"LW","BOS","700106082","BATTERY WHARF HOTEL, BOSTON","LWBOS751","42.36649","-71.05125","US","2.75","KM"
"MC","BOS","700068895","BOSTON MARRIOTT LONG WHARF","MCBOSLWM","42.36018","-71.05079","US","2.77","KM"
"PH","BOS","700035448","BOSTON HARBOR HOTEL PREFERRED","PHBOSHHL","42.3563","-71.05024","US","2.85","KM"
"UI","BOS","700066912","THE HARBORSIDE INN","UIBOS428","42.3594","-71.05292","US","2.96","KM"
"IC","BOS","700038482","INTERCONTINENTAL HOTEL","ICBOSICA","42.35439","-71.05292","US","3.13","KM"
"UZ","BOS","700174781","OAKWOOD AT THE LOFTS ATLANTIC","UZBOS530","42.35389","-71.05298","US","3.16","KM"
"UZ","BOS","700024879","THE CONSTITUTION INN","UZBOS174","42.3764","-71.05341","US","3.18","KM"
"MU","BOS","700039966","MILLENNIUM BOSTONIAN HOTEL","MUBOSSBH","42.36079","-71.05603","US","3.18","KM"

"AC","PAR","700140792","LE NOTRE DAME","ACPAR419","48.85306","2.34654","FR","0.17","KM"
"AC","PAR","700058597","DE NOTRE DAME","ACPAR243","48.85038","2.3494","FR","0.33","KM"
"BW","PAR","700054608","BW PREMIER ROYAL SAINT MICHEL","BWPAR599","48.85269","2.34384","FR","0.37","KM"
"AC","PAR","700029537","ABBATIAL SAINT GERMAIN","ACPARABA","48.84973","2.35061","FR","0.42","KM"
"FG","PAR","505296841","FG TEST PROPERTY","FGPARLAN","48.8569","2.35085","FR","0.42","KM"
"RT","PAR","505297506","ANITHAA PROPERTY","RTPARZYW","48.8569","2.35085","FR","0.42","KM"
"RT","PAR","505298504","ANITHAA PROPERTY","RTPARAYU","48.8569","2.35085","FR","0.42","KM"
"RT","PAR","700009189","MERCURE PARIS NOTRE DAME","RTPARDAM","48.85025","2.3452","FR","0.43","KM"
"AC","PAR","700092050","RELAIS HOTEL DU VIEUX PARIS","ACPARC06","48.85376","2.34289","FR","0.44","KM"
"OI","PAR","700092051","HOTEL RESIDENCE DES ARTS","OIPARRDA","48.85351","2.34245","FR","0.47","KM"
"OI","PAR","700006438","HOTEL VILLA D ESTREES","OIPARVDE","48.85337","2.34233","FR","0.48","KM"
"HI","PAR","700132326","HOLIDAY INN PARIS-NOTRE DAME","HIPARC12","48.85271","2.34235","FR","0.48","KM"
"KY","PAR","700005648","HOTEL CALIFORNIA SAINT GERMAIN","KYPARCSG","48.84908","2.34717","FR","0.49","KM"
"WW","PAR","700018106","VILLA PANTHEON","WWPARVLP","48.84917","2.34615","FR","0.5","KM"
"UI","PAR","700161096","HOTEL ATMOSPHERES","UIPAR803","48.84874","2.34807","FR","0.51","KM"
"AC","PAR","700158044","HOTEL SAINT-JACQUES","ACPARD49","48.84875","2.34763","FR","0.51","KM"
"XK","PAR","501107986","THE DEMO HOTEL","XKPAR321","48.85821","2.34654","","0.56","KM"
"UI","PAR","700005188","BELLOY SAINT GERMAIN","UIPAR506","48.85032","2.34252","FR","0.57","KM"
"AC","PAR","700061090","RESIDENCE HENRI IV","ACPAR346","48.84817","2.34907","FR","0.57","KM"
"AC","PAR","700870375","DU LOIRET","ACPARE67","48.85693","2.35526","FR","0.61","KM"
