"ChainCode","IataCode","DupeId","Name","HotelId","Latitude","Longitude","CountryCode","Distance","Unit"
"ES","BOS","700066550","EMBASSY STES BOSTON LOGAN ARPT","ESBOS207","42.37048","-71.03187","US","1.29","KM"
"CY","BOS","700008332","COURTYARD LOGAN ARPT MARRIOTT","CYBOSLAC","42.38774","-71.01752","US","2.49","KM"
"XL","BOS","700012479","SEAPORT BOSTON HOTEL SUMMIT","XLBOSSEA","42.35074","-71.04098","US","2.5","KM"
"UZ","BOS","700174780","EXECUSTAY AT PARK LANE","UZBOSPL1","42.34786","-71.03797","US","2.55","KM"
"TO","BOS","700883554","TOWNEPLACE STES ARPT MARRIOTT","TOBOSCLT","42.3879","-71.02363","US","2.56","KM"
"LW","BOS","700106082","BATTERY WHARF HOTEL, BOSTON","LWBOS751","42.36649","-71.05125","US","2.75","KM"
"MC","BOS","700068895","BOSTON MARRIOTT LONG WHARF","MCBOSLWM","42.36018","-71.05079","US","2.77","KM"
"PH","BOS","700035448","BOSTON HARBOR HOTEL PREFERRED","PHBOSHHL","42.3563","-71.05024","US","2.85","KM"
"UI","BOS","700066912","THE HARBORSIDE INN","UIBOS428","42.3594","-71.05292","US","2.96","KM"
"IC","BOS","700038482","INTERCONTINENTAL HOTEL","ICBOSICA","42.35439","-71.05292","US","3.13","KM"
"UZ","BOS","700174781","OAKWOOD AT THE LOFTS ATLANTIC","UZBOS530","42.35389","-71.05298","US","3.16","KM"
"UZ","BOS","700024879","THE CONSTITUTION INN","UZBOS174","42.3764","-71.05341","US","3.18","KM"
"MU","BOS","700039966","MILLENNIUM BOSTONIAN HOTEL","MUBOSSBH","42.36079","-71.05603","US","3.18","KM"
